1503960366,2016-04-30 03:00:00.0000000,49
1844505072,2016-05-05 06:00:00.0000000,56
1927972279,2016-04-17 17:00:00.0000000,86
2026352035,2016-04-20 14:00:00.0000000,100
1503960366,2016-05-05 12:00:00.0000000,75
2026352035,2016-04-27 07:00:00.0000000,67
2026352035,2016-05-06 13:00:00.0000000,100
3977333714,2016-04-19 19:00:00.0000000,47
6290855005,2016-04-24 06:00:00.0000000,86
2873212765,2016-04-12 08:00:00.0000000,137
4020332650,2016-04-17 23:00:00.0000000,83
8378563200,2016-04-24 16:00:00.0000000,128
8583815059,2016-05-11 00:00:00.0000000,103
8877689391,2016-04-15 16:00:00.0000000,109
1844505072,2016-05-04 12:00:00.0000000,88
2873212765,2016-04-15 05:00:00.0000000,92
4319703577,2016-05-09 16:00:00.0000000,92
4702921684,2016-05-02 21:00:00.0000000,233
5553957443,2016-04-15 12:00:00.0000000,95
5553957443,2016-04-17 10:00:00.0000000,55
8583815059,2016-05-08 20:00:00.0000000,119
1624580081,2016-04-21 17:00:00.0000000,64
2320127002,2016-05-10 10:00:00.0000000,93
3977333714,2016-05-03 16:00:00.0000000,89
4702921684,2016-04-16 20:00:00.0000000,162
4702921684,2016-04-26 06:00:00.0000000,184
6117666160,2016-04-16 14:00:00.0000000,122
8378563200,2016-05-10 12:00:00.0000000,152
2022484408,2016-04-27 07:00:00.0000000,62
6775888955,2016-04-20 05:00:00.0000000,77
7007744171,2016-04-14 09:00:00.0000000,144
1624580081,2016-04-30 19:00:00.0000000,94
1844505072,2016-04-20 13:00:00.0000000,56
2026352035,2016-04-27 05:00:00.0000000,47
3977333714,2016-04-17 13:00:00.0000000,56
4445114986,2016-04-22 13:00:00.0000000,118
2026352035,2016-04-23 00:00:00.0000000,48
2320127002,2016-04-19 04:00:00.0000000,55
2347167796,2016-04-19 21:00:00.0000000,82
4388161847,2016-04-15 01:00:00.0000000,79
6775888955,2016-04-18 16:00:00.0000000,77
7086361926,2016-05-07 22:00:00.0000000,100
8378563200,2016-04-12 08:00:00.0000000,236
8583815059,2016-04-14 18:00:00.0000000,109
2320127002,2016-04-17 13:00:00.0000000,99
4445114986,2016-05-01 01:00:00.0000000,73
4702921684,2016-04-22 21:00:00.0000000,192
4702921684,2016-04-29 16:00:00.0000000,126
6775888955,2016-05-02 05:00:00.0000000,77
8877689391,2016-04-29 17:00:00.0000000,106
1503960366,2016-05-06 14:00:00.0000000,83
2873212765,2016-04-21 06:00:00.0000000,77
2873212765,2016-05-09 08:00:00.0000000,129
4388161847,2016-05-07 21:00:00.0000000,139
5553957443,2016-04-22 16:00:00.0000000,197
5553957443,2016-04-23 00:00:00.0000000,82
8053475328,2016-04-28 09:00:00.0000000,73
4445114986,2016-04-25 09:00:00.0000000,69
4702921684,2016-04-16 00:00:00.0000000,85
4702921684,2016-05-10 17:00:00.0000000,172
6290855005,2016-04-28 22:00:00.0000000,86
1844505072,2016-04-27 09:00:00.0000000,56
2873212765,2016-05-12 04:00:00.0000000,53
3372868164,2016-04-15 05:00:00.0000000,60
7007744171,2016-04-17 16:00:00.0000000,139
7086361926,2016-04-30 11:00:00.0000000,132
7086361926,2016-05-08 03:00:00.0000000,68
1624580081,2016-04-21 10:00:00.0000000,62
1644430081,2016-04-15 22:00:00.0000000,101
1844505072,2016-04-23 15:00:00.0000000,111
3372868164,2016-04-30 10:00:00.0000000,104
6290855005,2016-05-03 02:00:00.0000000,86
7086361926,2016-05-10 02:00:00.0000000,68
8583815059,2016-04-27 14:00:00.0000000,237
1844505072,2016-04-23 06:00:00.0000000,56
2873212765,2016-05-02 12:00:00.0000000,147
4319703577,2016-04-15 22:00:00.0000000,77
4319703577,2016-05-11 21:00:00.0000000,74
8053475328,2016-04-25 10:00:00.0000000,130
8053475328,2016-05-09 01:00:00.0000000,80
1624580081,2016-04-21 05:00:00.0000000,50
4020332650,2016-05-11 07:00:00.0000000,83
4319703577,2016-04-29 07:00:00.0000000,63
4388161847,2016-04-15 16:00:00.0000000,245
8378563200,2016-04-27 12:00:00.0000000,153
6775888955,2016-04-22 16:00:00.0000000,77
8053475328,2016-04-21 12:00:00.0000000,106
8253242879,2016-04-17 23:00:00.0000000,59
1503960366,2016-04-24 09:00:00.0000000,59
1644430081,2016-05-08 23:00:00.0000000,109
6117666160,2016-05-03 12:00:00.0000000,62
7007744171,2016-04-17 12:00:00.0000000,82
1624580081,2016-04-16 17:00:00.0000000,56
