ID, Date, Total_Steps, Total_Minutes, Distance, Calories
1503960366,2016-04-12,13162,1094,8.5,1985
1503960366,2016-04-13,10735,1033,6.97,1797
1503960366,2016-04-14,10460,1440,6.74,1776
1503960366,2016-04-15,9762,998,6.28,1745
1503960366,2016-04-16,12669,1040,8.16,1863
1503960366,2016-04-17,9705,761,6.48,1728
1503960366,2016-04-18,13019,1440,8.59,1921
1503960366,2016-04-19,15506,1120,9.88,2035
1503960366,2016-04-20,10544,1063,6.68,1786
1503960366,2016-04-21,9819,1076,6.34,1775
1503960366,2016-04-22,12764,1440,8.13,1827
1503960366,2016-04-23,14371,1056,9.04,1949
1503960366,2016-04-24,10039,991,6.41,1788
1503960366,2016-04-25,15355,1117,9.8,2013
1503960366,2016-04-26,13755,1166,8.79,1970
1503960366,2016-04-27,18134,1440,12.21,2159
1503960366,2016-04-28,13154,1047,8.53,1898
1503960366,2016-04-29,11181,1086,7.15,1837
1503960366,2016-04-30,14673,1015,9.25,1947
1503960366,2016-05-01,10602,1044,6.81,1820
1503960366,2016-05-02,14727,1131,9.71,2004
1503960366,2016-05-03,15103,1144,9.66,1990
1503960366,2016-05-04,11100,1440,7.15,1819
1503960366,2016-05-05,14070,1176,8.9,1959
1503960366,2016-05-06,12159,1073,8.03,1896
1503960366,2016-05-07,11992,1091,7.71,1821
1503960366,2016-05-08,10060,829,6.58,1740
1503960366,2016-05-09,12022,1098,7.72,1819
1503960366,2016-05-10,12207,1037,7.77,1859
1503960366,2016-05-11,12770,979,8.13,1783
1624580081,2016-04-12,8163,1440,5.31,1432
1624580081,2016-04-13,7007,1440,4.55,1411
1624580081,2016-04-14,9107,1440,5.92,1572
1624580081,2016-04-15,1510,1440,0.98,1344
1624580081,2016-04-16,5370,1440,3.49,1463
1624580081,2016-04-17,6175,1440,4.06,1554
1624580081,2016-04-18,10536,1440,7.41,1604
1624580081,2016-04-19,2916,1440,1.9,1435
1624580081,2016-04-20,4974,1440,3.23,1446
1624580081,2016-04-21,6349,1440,4.13,1467
1624580081,2016-04-22,4026,1440,2.62,1470
1624580081,2016-04-23,8538,1440,5.55,1562
1624580081,2016-04-24,6076,1440,3.95,1617
1624580081,2016-04-25,6497,1440,4.22,1492
1624580081,2016-04-26,2826,1440,1.84,1402
1624580081,2016-04-27,8367,1440,5.44,1670
1624580081,2016-04-28,2759,1440,1.79,1401
1624580081,2016-04-29,2390,1440,1.55,1404
1624580081,2016-04-30,6474,1440,4.3,1655
1624580081,2016-05-01,36019,1440,28.03,2690
1624580081,2016-05-02,7155,1440,4.93,1497
1624580081,2016-05-03,2100,1440,1.37,1334
1624580081,2016-05-04,2193,1440,1.43,1368
1624580081,2016-05-05,2470,1440,1.61,1370
1624580081,2016-05-06,1727,1440,1.12,1341
1624580081,2016-05-07,2104,1440,1.37,1474
1624580081,2016-05-08,3427,1440,2.23,1427
1624580081,2016-05-09,1732,1440,1.13,1328
1624580081,2016-05-10,2969,1440,1.93,1393
1624580081,2016-05-11,3134,1440,2.04,1359
1624580081,2016-05-12,2971,997,1.93,1002
1644430081,2016-04-12,10694,1440,7.77,3199
1644430081,2016-04-13,8001,1440,5.82,2902
1644430081,2016-04-14,11037,1440,8.02,3226
1644430081,2016-04-15,5263,1440,3.83,2750
1644430081,2016-04-16,15300,1440,11.12,3493
1644430081,2016-04-17,8757,1440,6.37,3011
1644430081,2016-04-18,7132,1440,5.19,2806
1644430081,2016-04-19,11256,1440,8.18,3300
1644430081,2016-04-20,2436,1440,1.77,2430
1644430081,2016-04-21,1223,1440,0.89,2140
1644430081,2016-04-22,3673,1440,2.67,2344
1644430081,2016-04-23,6637,1440,4.83,2677
1644430081,2016-04-24,3321,1440,2.41,2413
1644430081,2016-04-25,3580,1440,2.6,2497
1644430081,2016-04-26,9919,1440,7.21,3123
1644430081,2016-04-27,3032,1440,2.2,2489
1644430081,2016-04-28,9405,1440,6.84,3108
1644430081,2016-04-29,3176,1313,2.31,2498
1644430081,2016-04-30,18213,1298,13.24,3846
1644430081,2016-05-01,6132,1081,4.46,2696
1644430081,2016-05-02,3758,838,2.73,2580
1644430081,2016-05-03,12850,1440,9.34,3324
1644430081,2016-05-04,2309,1440,1.68,2222
1644430081,2016-05-05,4363,1440,3.19,2463
1644430081,2016-05-06,9787,1440,7.12,3328
1644430081,2016-05-07,13372,1440,9.72,3404
1644430081,2016-05-08,6724,1286,4.89,2987
